name,Categoria,address,CodiceIdentificativo,telephone,email,website,iso3
Antica Locanda Le Ginestre,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via S. Maria, Cerveteri Roma, Italia  ",217875,06 994 3365,,,
Ristorante Pizzeria T-Bone Steak House Duecie Sas Di Celbova Paul Julien Vladimir & C.,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Viale Alessandro Manzoni, 92, Cerveteri Roma, Italia  ",217876,06 9955 2650,,,
Tanit Srl,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Doganale 138, 00050, Loc. Borgo San Martino - Cerveteri, Italia  ",217877,06 9920 6711,,,
Ristorante Il Cavallino Bianco,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Piazza Risorgimento, 7, Cerveteri Roma, Italia  ",217872,06 994 3693,,,
Ristorante la Taverna Ceretana,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Ceretana, 29, Cerveteri Roma, Italia  ",217873,06 994 1589,,,
Osteria Del Castello,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Agillina, 41, Cerveteri Roma, Italia  ",217874,347 194 6871,,,
Ristorante Sora Lella,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"1 v. Delle Stalle, Cerveteri, RM 00052, Italia  ",217871,06 9920 7248,,,
Segreto Carmelo,Aziende CerveteriNegozi CerveteriGioiellerie Cerveteri,"Via Agillina, 47, Cerveteri Roma, Italia  ",207059,06 994 2152,,,
Del Duca Gian Maria,Aziende CerveteriNegozi CerveteriGioiellerie Cerveteri,"Via Roma, 2, Cerveteri Roma, Italia  ",207060,06 994 1931,,,
Abramia Giuseppe,Aziende CerveteriNegozi CerveteriGioiellerie Cerveteri,"Via Ceretana, 45, Cerveteri Roma, Italia  ",207058,06 9955 0133,,,
Si.Mar S.N.C. Di Gubbini Silvana E Iovinelli Margherita,Aziende CerveteriNegozi CerveteriNegozi di scarpe Cerveteri,"Viale Alessandro Manzoni, 60, Cerveteri Roma, Italia  ",199995,06 994 2352,,,
Shoes & Sport Sas Di Nazzarena Ilari,Aziende CerveteriNegozi CerveteriNegozi di scarpe Cerveteri,"Viale Alessandro Manzoni, 26, Cerveteri Roma, Italia  ",199993,06 994 3457,,,
Glamour Srl,Aziende CerveteriNegozi CerveteriNegozi di scarpe Cerveteri,"Via Settevene Palo, 91, Cerveteri Roma, Italia  ",199994,06 994 0728,,,
Ortopedia E Sanitaria Etrusca,Aziende CerveteriErboristerie CerveteriNegozi CerveteriNegozi di scarpe CerveteriNegozi di Abbigliamento Cerveteri,"Via Settevene Palo, 204, Cerveteri Roma, Italia  ",199992,06 995 1867,,,
Ma.Gi Le Parrucchiere Di Ragusa Maria E Specchio Giuliana Snc,Aziende CerveteriParrucchieri Cerveteri,"Via Settevene Palo, 157, Cerveteri Roma, Italia  ",191563,06 995 3138,,,
Fantasia Capelli Di Fubelli Loredana,Aziende CerveteriParrucchieri Cerveteri,"Via Settevene Palo, Cerveteri Roma, Italia  ",191564,06 994 3338,,,
Padroni Egizia,Aziende CerveteriParrucchieri Cerveteri,"Piazza Vicinatello, Cerveteri Roma, Italia  ",191560,06 994 3433,,,
Rinaldi Anna Maria,Aziende CerveteriParrucchieri Cerveteri,"Via Armando Diaz, 24, Cerveteri Roma, Italia  ",191561,06 994 3446,,,
Pierantozzi Gabriela,Aziende CerveteriParrucchieri Cerveteri,"Via Settevene Palo, 263, Cerveteri Roma, Italia  ",191562,06 994 2687,,,
Alegi Di Salvini Giuseppe E Pinna Claudia & C. S.A.S.,Aziende CerveteriParrucchieri Cerveteri,"Viale Alessandro Manzoni, 52, Cerveteri Roma, Italia  ",191559,06 995 1280,,,
Rinaldi Domenico,Aziende CerveteriOsterie CerveteriNegozi CerveteriNegozi di Alimentari Cerveteri,"Via Lombardia, 9, Cerveteri Roma, Italia  ",187517,06 994 2711,,,
Ilari Sergio,Aziende CerveteriOsterie CerveteriNegozi CerveteriNegozi di Alimentari Cerveteri,"Via Agillina, Cerveteri Roma, Italia  ",187518,06 994 0012,,,
Colordream Di Caruso Davide,Aziende CerveteriImbianchini Cerveteri,"Via Settevene Palo, 237, Cerveteri Roma, Italia  ",184919,06 994 3765,,,
Farmacia Pratocavalieri Di Morabito Dott.Ssa Teresa,Aziende CerveteriErboristerie CerveteriNegozi CerveteriFarmacie Cerveteri,"Via Mario Pelagalli, 81, Cerveteri Roma, Italia  ",173250,06 9955 1302,,,
Multiservizi Caerite S.P.A.,Aziende CerveteriErboristerie CerveteriNegozi CerveteriFarmacie Cerveteri,"Piazza Risorgimento, 1, Cerveteri Roma, Italia  ",173248,06 994 0006,,,
Multiservizi Caerite Spa,Aziende CerveteriErboristerie CerveteriNegozi CerveteriFarmacie Cerveteri,"Via Settevene Palo, 81, Cerveteri Roma, Italia  ",173249,06 995 1514,,,
Beta Srl,Aziende CerveteriCentri commerciali Cerveteri,"Largo Almuneacar, 13, Cerveteri Roma, Italia  ",169721,06 994 0864,,,
Prov. Relig. Maria Madre Carmelo,Aziende CerveteriChiese CerveteriLuoghi di culto Cerveteri,"Via S. Angelo, 6, Cerveteri Roma, Italia  ",137989,06 995 1217,,,
Olimpia Gym Cerveteri,Aziende CerveteriErboristerie CerveteriPalestre Cerveteri,"Viale Alessandro Manzoni, 30, Cerveteri Roma, Italia  ",134304,06 9955 2890,,,
Comune Cerveteri,Capoluoghi CerveteriMunicipi CerveteriUffici Comunali CerveteriAziende CerveteriLuoghi famosi Cerveteri,"Via Friuli, 7, Cerveteri Roma, Italia  ",118768,06 994 2586,,,
Comune,Capoluoghi CerveteriMunicipi CerveteriUffici Comunali CerveteriAziende CerveteriLuoghi famosi Cerveteri,"Piazza Risorgimento, 1, Cerveteri Roma, Italia  ",118770,06 994 2584,,,
Comune,Capoluoghi CerveteriMunicipi CerveteriUffici Comunali CerveteriAziende CerveteriLuoghi famosi Cerveteri,"Piazza Risorgimento, 20, Cerveteri Roma, Italia  ",118772,06 995 1024,,,
Multiservizi Caerite S.P.A.,Capoluoghi CerveteriMunicipi CerveteriUffici Comunali CerveteriAziende CerveteriLuoghi famosi Cerveteri,"Vicolo Mario Fabio Sollazzi, 3, Cerveteri Roma, Italia  ",118773,06 9955 2659,,,
Comune di Cerveteri,Capoluoghi CerveteriMunicipi CerveteriUffici Comunali CerveteriAziende CerveteriLuoghi famosi Cerveteri,"Piazza Risorgimento, 1, Cerveteri Roma, Italia  ",118766,06 896301,,,
Comune Di Cerveteri,Capoluoghi CerveteriMunicipi CerveteriUffici Comunali CerveteriAziende CerveteriLuoghi famosi Cerveteri,"Via Settevene Palo, Cerveteri Roma, Italia  ",118767,06 9955 1962,,,
Studio Legale Associato Morani & Orfei,Aziende CerveteriAvvocati Cerveteri,"Via Armando Diaz, 11, Cerveteri Roma, Italia  ",110631,06 994 3990,,,
Esthetique Magie Mearelli Giovanna,Aziende CerveteriSaloni di Bellezza Cerveteri,"Via Livry Gargan, Cerveteri Roma, Italia  ",96331,06 994 1255,,,
Beauty Center Donna In Di Loualiche Aicha & C. S.A.S.,Aziende CerveteriSaloni di Bellezza Cerveteri,"Viale Alessandro Manzoni, 50, Cerveteri Roma, Italia  ",96332,06 995 1736,,,
Branca Oriana,Aziende CerveteriSaloni di Bellezza Cerveteri,"Via Armando Diaz, 27, Cerveteri Roma, Italia  ",96333,06 995 2197,,,
Il Girasole Estetica E Solarium Srl,Aziende CerveteriSaloni di Bellezza Cerveteri,"Viale Alessandro Manzoni, 52, Cerveteri Roma, Italia  ",96327,06 994 2999,,,
Centro Estetico Giosiana,Aziende CerveteriSaloni di Bellezza Cerveteri,"Via S. Pietro, 15, Cerveteri Roma, Italia  ",96329,06 9955 1974,,,
Poste Italiane Poste Italiane Spa,Uffici Comunali CerveteriAziende CerveteriIstituti finanziari CerveteriCommercialisti Cerveteri,"Via Settevene Palo, 214, Cerveteri Roma, Italia  ",72942,06 9955 6020,,,
Daddabbo Rag. Anna Maria,Aziende CerveteriIstituti finanziari CerveteriCommercialisti Cerveteri,"Via Giulio Valeri, Cerveteri Roma, Italia  ",72943,06 994 1535,,,
Di Stefano Giuliano,Aziende CerveteriIstituti finanziari CerveteriCommercialisti Cerveteri,"Via Adorno Bruschi, 9, Cerveteri Roma, Italia  ",72940,06 994 0970,,,
Galli Angelo,Aziende CerveteriIstituti finanziari CerveteriCommercialisti Cerveteri,"Via Bastioni, 2, Cerveteri Roma, Italia  ",72941,06 994 3921,,,
Formichetti Dr. Giancarlo,Aziende CerveteriErboristerie CerveteriOspedali Cerveteri,"Via Monte Zebio, 11, Cerveteri Roma, Italia  ",66046,06 995 2081,,,
Medicina Del Territorio S.C. A R. L.,Aziende CerveteriErboristerie CerveteriOspedali Cerveteri,"Viale Alessandro Manzoni, 82, Cerveteri Roma, Italia  ",66047,06 994 0117,,,
Azienda Unita Sanitaria Locale Roma F,Aziende CerveteriErboristerie CerveteriOspedali Cerveteri,"Via Martiri delle Foibe, Roma, Italia  ",66048,06 995 3532,,,
Iorio Franco,Aziende CerveteriBancomat CerveteriIstituti finanziari CerveteriDistributori di benzina Cerveteri,"Km. 16.500 Via Settevene Palo, Cerveteri, RM 00052, Italia  ",58952,06 994 3840,,,
D'Annunzio David,Aziende CerveteriFerramenta Cerveteri,"Via Giulio Valeri, Cerveteri Roma, Italia  ",51315,06 995 3523,,,
Tecnoservice Tre Emme 2004 Srl,Aziende CerveteriIdraulici Cerveteri,"Via Piave, 5, Cerveteri Roma, Italia  ",51244,06 9955 9280,,,
Baltur Spa,Aziende CerveteriIdraulici Cerveteri,"Cerveteri Roma, Italia  ",51246,,,,
Gm Impianti Soc.Coop.,Aziende CerveteriIdraulici Cerveteri,"Via Monte Grappa, 1, Cerveteri Roma, Italia  ",51249,06 9992 0033,,,
Termoidraulica R & R Srl,Aziende CerveteriIdraulici Cerveteri,"Viale Alessandro Manzoni, 44, Cerveteri Roma, Italia  ",51241,06 994 2241,,,
Futur Clima Di Spada Roberto,Aziende CerveteriIdraulici Cerveteri,"12 Via Necropoli, Cerveteri, RM 00052, Italia  ",51243,06 9955 1251,,,
Si.Ste. Di Sebastiani Bruno E C. S.N.C.,Aziende CerveteriOsterie CerveteriNegozi CerveteriPanetterie Cerveteri,"Via Settevene Palo, 200, Cerveteri Roma, Italia  ",48917,06 995 1718,,,
Valentina D.M. Srl,Aziende CerveteriOsterie CerveteriNegozi CerveteriPanetterie Cerveteri,"Viale Alessandro Manzoni, 66, Cerveteri Roma, Italia  ",48918,06 995 1570,,,
Panificio Guglielmi Di Guglielmi Mario E C. S.A.S,Aziende CerveteriOsterie CerveteriNegozi CerveteriPanetterie Cerveteri,"Piazza Gramsci, 9, Cerveteri Roma, Italia  ",48919,06 994 2577,,,
Forno Travagliati Di Alessandro Travagliati & C. Sas,Aziende CerveteriOsterie CerveteriNegozi CerveteriPanetterie Cerveteri,"Via S. Angelo, 12, Cerveteri Roma, Italia  ",48916,06 994 2465,,,
Agenzia Funebre Sampaolesi Sas Di Sampaolesi Eugenio & C.,Aziende CerveteriPompe funebri Cerveteri,"Via Settevene Palo, 248, Cerveteri Roma, Italia  ",27494,06 994 3586,,,
Sampaolesi Sas,Aziende CerveteriPompe funebri Cerveteri,"Via Settevene Palo, 248, Cerveteri Roma, Italia  ",27495,06 994 3586,,,
Mezzopane Dei F.Lli Mezzopane Srl,Aziende CerveteriPompe funebri Cerveteri,"Via Settevene Palo, 167, Cerveteri Roma, Italia  ",27493,06 994 3583,,,
Mondo Convenienza,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di arredamento Cerveteri,"Via Settevene Palo, 87, Cerveteri Roma, Italia  ",24956,06 729671,,,
Ricci Arredamenti Di Ricci Ugo E Riccardo Snc,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di arredamento Cerveteri,"Via Settevene Palo, 117, Cerveteri Roma, Italia  ",24958,06 995 2051,,,
Ikea Store,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di arredamento Cerveteri,"Cerveteri Roma, Italia  ",24960,,,,
Cere Mobili Srl,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di arredamento Cerveteri,"Via Settevene Palo, 87, Cerveteri Roma, Italia  ",24962,06 995 3580,,,
